#delimieter: ,
#columns:type,person1,person2,forum,forum_event,publication,topic,date,lat,lon
#types:STRING,UINT,UINT,UINT,UINT,UINT,UINT,USDATE,DOUBLE,DOUBLE
Publication,,,,,102583151124020340,,4/1/2013,,
Publication,,,,,639593259501530220,,6/1/2016,,
Publication,,,,,1433303251800176474,,1/1/2014,,
Publication,,,,,426261506651450656,,9/1/2012,,
ForumEvent,,,1372844135435303981,1651365355351122204,,,1/7/2019,,
ForumEvent,,,1372844135435303981,1060309546214304182,,,1/3/2018,,
ForumEvent,,,1372844135435303981,932362105613871012,,,1/8/2018,,
ForumEvent,,,1372844135435303981,1083645618205541900,,,1/8/2018,,
ForumEvent,,,1372844135435303981,1209342585680609487,,,1/10/2018,,
ForumEvent,,,1615340315424362057,1553547443642141359,,,2/13/2018,,
ForumEvent,,,1372844135435303981,308055371548158820,,,2/5/2018,,
ForumEvent,,,1314315120197156050,241612738611320254,,,3/23/2018,,
ForumEvent,,,1615340315424362057,730659056743125659,,,3/26/2018,,
ForumEvent,,,1372844135435303981,625375362050355621,,,4/5/2018,,
ForumEvent,,,1615340315424362057,1027391951192717347,,,4/11/2018,,
ForumEvent,,,324124332757504717,1611943845151076252,,,4/13/2018,,
ForumEvent,,,1615340315424362057,679721048351950362,,,5/17/2018,,
ForumEvent,,,869745302967338810,705405857607435952,,,5/3/2018,,
ForumEvent,,,1314315120197156050,1451092413261528372,,,6/11/2018,,
ForumEvent,,,1202482536733844323,1114502034902546550,,,6/14/2018,,
ForumEvent,,,1372844135435303981,1042722514115814455,,,7/7/2018,,
ForumEvent,,,1615340315424362057,84295014231628064,,,7/19/2018,,
ForumEvent,,,1615340315424362057,1191446701255665955,,,8/1/2018,,
ForumEvent,,,1314315120197156050,1567365443431158000,,,8/11/2018,,
ForumEvent,,,1615340315424362057,264222459574523105,,,9/9/2018,,
ForumEvent,,,1372844135435303981,359387609229331574,,,9/14/2018,,
ForumEvent,,,1615340315424362057,394352063214255261,,,10/13/2018,,
ForumEvent,,,1372844135435303981,462909183311043388,,,10/19/2018,,
ForumEvent,,,1202482536733844323,1513662032452523252,,,10/30/2018,,
ForumEvent,,,1314315120197156050,818114433937955570,,,11/14/2018,,
ForumEvent,,,1372844135435303981,443011564966490962,,,11/11/2018,,
ForumEvent,,,1615340315424362057,744050462705530514,,,12/1/2018,,
ForumEvent,,,1372844135435303981,242319556350139294,,,12/15/2018,,
ForumEvent,,,1615340315424362057,1431296414494015398,,,1/11/2019,,
ForumEvent,,,15133734353741126,1054211253526041632,,,1/10/2019,,
ForumEvent,,,1615340315424362057,1055033486001603535,,,2/2/2019,,
ForumEvent,,,1372844135435303981,441428674133413491,,,2/13/2019,,
ForumEvent,,,1202482536733844323,648532001209826135,,,2/8/2019,,
ForumEvent,,,1615340315424362057,1145085432543259730,,,3/28/2019,,
ForumEvent,,,1314315120197156050,778164812544303241,,,3/3/2019,,
ForumEvent,,,1615340315424362057,1616126644135451143,,,4/14/2019,,
ForumEvent,,,565733832133342431,996513151205282246,,,4/30/2019,,
ForumEvent,,,1314315120197156050,534824947453705510,,,5/29/2019,,
ForumEvent,,,1372844135435303981,550991096516358338,,,5/17/2019,,
ForumEvent,,,1615340315424362057,610632535520533707,,,6/5/2019,,
ForumEvent,,,1372844135435303981,215089625801416613,,,6/23/2019,,
ForumEvent,,,1427292001647224242,527407626398459111,,,6/11/2019,,
ForumEvent,,,1372844135435303981,142553865485044515,,,7/10/2019,,
ForumEvent,,,353365307219544531,1483555911382243843,,,7/31/2019,,
ForumEvent,,,1615340315424362057,1268992263836158411,,,8/24/2019,,
ForumEvent,,,1314315120197156050,725842215428003633,,,8/5/2019,,
ForumEvent,,,1314315120197156050,850535205307089982,,,9/19/2019,,
ForumEvent,,,1615340315424362057,1019763081880842517,,,9/21/2019,,
ForumEvent,,,353365307219544531,403455645193718573,,,10/16/2019,,
ForumEvent,,,,704413426456483690,,,10/1/2019,,
ForumEvent,,,,366902333201810148,,,10/22/2019,,
ForumEvent,,,,1139570342401113643,,,11/17/2019,,
ForumEvent,,,,540628379521752411,,,11/5/2019,,
ForumEvent,,,,424256831128795523,,,12/26/2019,,
ForumEvent,,,,855510593243809745,,,12/18/2019,,
Forum,,,227560344059645632,,,,,,
Forum,,,642724485236726353,,,,,,
Forum,,,1583773067440233990,,,,,,
Forum,,,353365307219544531,,,,,,
Forum,,,1372844135435303981,,,,,,
Forum,,,817570614729612563,,,,,,
Forum,,,1222966301068614432,,,,,,
Forum,,,254347350613723281,,,,,,
Forum,,,230406515001545612,,,,,,
Forum,,,1561731546512891652,,,,,,
Forum,,,188043543797416114,,,,,,
Forum,,,1083041743586306041,,,,,,
Forum,,,132472381132383125,,,,,,
Forum,,,20118285562646166,,,,,,
Forum,,,555784630220125214,,,,,,
Forum,,,1015255971523263924,,,,,,
Forum,,,1342495276080758813,,,,,,
Forum,,,851350143155248158,,,,,,
Forum,,,1427292001647224242,,,,,,
Forum,,,722051276937327353,,,,,,
Forum,,,1107212912316309796,,,,,,
Forum,,,504490409499070811,,,,,,
Forum,,,15133734353741126,,,,,,
Forum,,,869745302967338810,,,,,,
Forum,,,324124332757504717,,,,,,
Forum,,,852491638004013222,,,,,,
Forum,,,1040437236245414809,,,,,,
Forum,,,442231451428861295,,,,,,
Forum,,,101022092642335391,,,,,,
Forum,,,1037815940207624157,,,,,,
Forum,,,1331941318481662527,,,,,,
Forum,,,1615340315424362057,,,,,,
Forum,,,1425519641234605945,,,,,,
Forum,,,705065952261175094,,,,,,
Forum,,,1314315120197156050,,,,,,
Forum,,,214214821270800149,,,,,,
Forum,,,1361197157264541395,,,,,,
Forum,,,1033538541314217453,,,,,,
Forum,,,565733832133342431,,,,,,
Forum,,,451888058015735870,,,,,,
Forum,,,155345234637251110,,,,,,
Forum,,,1371100161965701220,,,,,,
Forum,,,1307221369082243900,,,,,,
Forum,,,406508153569651122,,,,,,
Forum,,,1202482536733844323,,,,,,
Forum,,,912373284682369433,,,,,,
Person,477384404927196020,,,,,,,,
Topic,,,,,,271997,,,
Topic,,,,,,127197,,,
Person,284405379592161575,,,,,,,,
Topic,,,,,,11650,,,
Topic,,,,,,185785,,,
Topic,,,,,,551800,,,
Topic,,,,,,1333024,,,
Topic,,,,,,2329,,,
Topic,,,,,,571,,,
Topic,,,,,,1420,,,
Topic,,,,,,2095,,,
Topic,,,,,,1747582,,,
Topic,,,,,,192270,,,
Topic,,,,,,146,,,
Topic,,,,,,191655,,,
Topic,,,,,,1065592,,,
Topic,,,,,,7304244,,,
Topic,,,,,,177,,,
Topic,,,,,,81944,,,
Topic,,,,,,998,,,
Topic,,,,,,454839,,,
Topic,,,,,,2119531,,,
Topic,,,,,,238053,,,
Topic,,,,,,38695,,,
Topic,,,,,,13098211,,,
Topic,,,,,,2845,,,
Topic,,,,,,42962,,,
Topic,,,,,,8849,,,
Topic,,,,,,35120,,,
Topic,,,,,,650031,,,
Topic,,,,,,7817,,,
Topic,,,,,,11639,,,
Topic,,,,,,7569,,,
Topic,,,,,,478798,,,
Topic,,,,,,206115,,,
Topic,,,,,,304878,,,
Topic,,,,,,18545,,,
Topic,,,,,,8486,,,
Topic,,,,,,7590,,,
Topic,,,,,,45594,,,
Topic,,,,,,60,,40.67,-73.94
Topic,,,,,,44619,,,
Topic,,,,,,34508,,,
Topic,,,,,,11707,,,
Topic,,,,,,158847,,49.713588888889,6.5066861111111
Topic,,,,,,1578,,,
Topic,,,,,,575,,,
Topic,,,,,,889,,34.0,66.0
Topic,,,,,,18426,,40.84676,-73.873207
Topic,,,,,,41176,,,
Topic,,,,,,467,,,
Person,1419850416906085161,,,,,,,,
Topic,,,,,,2869238,,,
Topic,,,,,,5,,,
Topic,,,,,,220869,,,
Topic,,,,,,23445,,,
Topic,,,,,,188507,,,
Topic,,,,,,179057,,,
Person,937327290742494464,,,,,,,,
Topic,,,,,,43164,,,
Topic,,,,,,581369,,,
Topic,,,,,,4116214,,,
Topic,,,,,,2298921,,,
Topic,,,,,,285547,,,
Topic,,,,,,37074668,,,
Topic,,,,,,213441,,,
Topic,,,,,,703534,,,
Topic,,,,,,40357,,,
Person,250524811602286661,,,,,,,,
Person,145733418621423340,,,,,,,,
Topic,,,,,,160409,,40.7825,-73.966111111111
Topic,,,,,,69871376,,,
Topic,,,,,,196431,,,
Person,223710372317121295,,,,,,,,
Topic,,,,,,29313,,,
Topic,,,,,,2456959,,,
Topic,,,,,,746628,,,
Topic,,,,,,792565,,48.10277778,20.78388889
Topic,,,,,,4189256,,,
Topic,,,,,,37144,,,
Topic,,,,,,25395,,40.735277777778,-74.185
Topic,,,,,,169313,,,
Topic,,,,,,277038,,,
Topic,,,,,,728,,,
Topic,,,,,,1373238,,53.864444444444,27.539722222222
Topic,,,,,,119380,,,
Person,642852658395373651,,,,,,,,
Person,410938596371648569,,,,,,,,
Topic,,,,,,1424605,,,
Person,1417547619226642416,,,,,,,,
Person,635431402442203037,,,,,,,,
Person,1191344464141511581,,,,,,,,
Topic,,,,,,11299,,40.728333333333,-73.994166666667
Topic,,,,,,83460,,,
Topic,,,,,,2275710,,,
Topic,,,,,,23444,,,
Topic,,,,,,11281,,,
Person,562616026096155123,,,,,,,,
Person,119521335022230240,,,,,,,,
Person,126273906342260012,,,,,,,,
Topic,,,,,,208165,,,
Topic,,,,,,1920566,,,
Person,1384543840122438323,,,,,,,,
Person,364144717361368515,,,,,,,,
Person,691329036060773404,,,,,,,,
Person,228024664522999582,,,,,,,,
Topic,,,,,,789815,,,
Topic,,,,,,44311,,,
